2023-08-29 00:00:32,117 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-28 23:59:31, qcd: 2023-08-28 23:58:31, count:0
2023-08-29 00:01:32,215 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:00:31, qcd: 2023-08-28 23:59:31, count:0
2023-08-29 00:02:32,083 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:01:31, qcd: 2023-08-29 00:00:31, count:0
2023-08-29 00:03:32,172 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:02:31, qcd: 2023-08-29 00:01:31, count:0
2023-08-29 00:04:32,157 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:03:31, qcd: 2023-08-29 00:02:31, count:0
2023-08-29 00:05:32,128 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:04:31, qcd: 2023-08-29 00:03:31, count:0
2023-08-29 00:06:32,226 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:05:31, qcd: 2023-08-29 00:04:31, count:0
2023-08-29 00:07:32,090 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:06:31, qcd: 2023-08-29 00:05:31, count:0
2023-08-29 00:08:32,121 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:07:31, qcd: 2023-08-29 00:06:31, count:0
2023-08-29 00:09:32,138 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:08:31, qcd: 2023-08-29 00:07:31, count:0
2023-08-29 00:10:32,097 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:09:31, qcd: 2023-08-29 00:08:31, count:0
2023-08-29 00:11:32,108 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:10:31, qcd: 2023-08-29 00:09:31, count:0
2023-08-29 00:12:32,101 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:11:31, qcd: 2023-08-29 00:10:31, count:0
2023-08-29 00:13:32,103 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:12:31, qcd: 2023-08-29 00:11:31, count:0
2023-08-29 00:14:32,150 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:13:31, qcd: 2023-08-29 00:12:31, count:0
2023-08-29 00:15:32,163 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:14:31, qcd: 2023-08-29 00:13:31, count:0
2023-08-29 00:16:32,199 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:15:31, qcd: 2023-08-29 00:14:31, count:0
2023-08-29 00:17:32,172 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:16:31, qcd: 2023-08-29 00:15:31, count:0
2023-08-29 00:18:32,247 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:17:31, qcd: 2023-08-29 00:16:31, count:0
2023-08-29 00:19:32,523 DEBUG ==> yd : 2023-08-28, td: 2023-08-29, cd: 2023-08-29 00:18:31, qcd: 2023-08-29 00:17:31, count:0
